Level of Study,School ranking ,School Classify,Location,Subject Classify,Language instruction,GPA,TOEIC,HSK,TOCFL,Scholarship,Activitve Certificate,Study Plan,Autobiography
Master,outside top 50,National ,South,"Business, Administration and Law ",full english ,8.86,945,,,School,no,b,b
Master,Top 1120,National ,North,Socail sciences,full english ,7.9,950,4,,School,yes,b,b
Bacholar,Top 4,National ,North,Socail sciences,full chinese,9,800,,4,Government,yes,c,c
Master,outside top 50,Private,North,"Business, Administration and Law ",English and Chinese,9.2,860,,3,School,yes,a,a
Master,Top 4,National ,South,"Business, Administration and Law ",full english ,7.38,800,,,School,no,c,c
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",full chinese,7,,,3,School,yes,b,b
Bacholar,Top 1120,National ,Center,"Business, Administration and Law ",English and Chinese,8.3,545,,3,School,yes,b,c
Master,Top 2130,Private,North,Natural sciences and technology ,English and Chinese,7.75,650,,,School,yes,b,b
Bacholar,Top 1120,National ,North,"Business, Administration and Law ",English and Chinese,7,450,,5,no scholarship,no,d,d
Master,Top 1120,National ,North,Natural sciences and technology ,full english ,8.5,600,,,School,yes,c,b
Master,Top 4,National ,South,Natural sciences and technology ,full english ,8.34,600,,,School,yes,d,d
Master,Top 1120,National ,North,Socail sciences,full chinese,8.4,,5,4,School,no,b,b
Ph D ,Top 1120,Private,Center,Natural sciences and technology ,English and Chinese,7,700,,,School,no,a,a
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",full english ,8.7,900,,6,Government,no,c,c
Bacholar,Top 1120,Private,Center,"Business, Administration and Law ",English and Chinese,7,,,3,no scholarship,no,b,b
Master,Top 1120,Private,Center,"Business, Administration and Law ",full english ,7,760,,,School,no,b,a
Master,Top 4,National ,North,Natural sciences and technology ,full english ,6.7,750,,,School,no,b,b
Master,Top 4,National ,North,Socail sciences,full english ,8.2,900,,,School,yes,c,c
Master,Top 1120,National ,North,Natural sciences and technology ,full english ,8,600,,,School,yes,c,b
Master,Top 4,National ,North,Natural sciences and technology ,full english ,8.5,750,,,Government,yes,c,c
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,1,850,,,School,yes,a,a
Master,Top 4,National ,North,Natural sciences and technology ,full english ,7.6,800,,,School,yes,c,c
Ph D ,Top 4,National ,North,Natural sciences and technology ,English and Chinese,8,800,,,School,no,c,c
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,6.95,600,,,School ,yes,b,c
Bacholar,Top 4,National ,North,Socail sciences,English and Chinese,8,950,,,School ,yes,d,d
Master,Top 4,National ,North,"Business, Administration and Law ",full english ,7.6,900,,3,School ,no,d,d
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",full chinese,7.2,540,,3,School ,yes,c,c
Master,Top 2130,Private,North,Socail sciences,full chinese,8,800,,4,School ,no,c,c
Bacholar,outside top 50,Private,North,"Business, Administration and Law ",full chinese,7,,,,no scholarship,no,b,b
Bacholar,outside top 50,Private,South,Natural sciences and technology ,English and Chinese,7.67,,,1,no scholarship,no,b,a
Bacholar,outside top 50,Private,South,"Business, Administration and Law ",full chinese,8,600,,4,School ,no,b,c
Master,Top 510,National ,South,"Business, Administration and Law ",full english ,7.4,800,,,School ,no,c,c
Bacholar,Top 1120,National ,North,Socail sciences,full chinese,8,,,4,no scholarship,yes,c,c
Master,Top 4,National ,North,Natural sciences and technology ,full english ,8,830,,,School ,no,b,a
Master,Top 3150 ,Private,North,"Business, Administration and Law ",full english ,7.89,800,,,School ,yes,c,c
Master,Top 3150 ,Private,North,"Business, Administration and Law ",full english ,8,730,,,School ,no,b,b
Bacholar,Top 1120,National ,North,"Business, Administration and Law ",full chinese,8.8,,5,3,Government,no,c,c
